,last_review_year_date,neighbourhood,neighbourhood_group,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
48,2017-01-01,Holroyd,,55.833333333333336,3.6666666666666665,4.666666666666667,0.20666666666666667,1.3333333333333333,90.16666666666667
49,2018-01-01,Holroyd,,91.66197183098592,4.28169014084507,13.338028169014084,0.9291549295774648,9.746478873239436,180.01408450704224
50,2013-01-01,Hornsby,,220.0,1.0,1.0,0.01,1.0,336.0
51,2015-01-01,Hornsby,,295.0,3.6666666666666665,4.666666666666667,0.060000000000000005,1.6666666666666667,121.66666666666667
52,2016-01-01,Hornsby,,199.64705882352942,22.647058823529413,4.9411764705882355,0.10588235294117647,2.1176470588235294,106.76470588235294
53,2017-01-01,Hornsby,,177.8181818181818,2.727272727272727,5.045454545454546,0.1859090909090909,2.1818181818181817,157.8181818181818
54,2018-01-01,Hornsby,,143.12252964426878,1.9960474308300395,20.529644268774703,1.3386561264822134,3.047430830039526,167.17391304347825
55,2016-01-01,Hunters Hill,,182.75,2.75,6.0,0.14500000000000002,1.25,180.25
56,2017-01-01,Hunters Hill,,134.85714285714286,4.0,4.0,0.19571428571428573,1.1428571428571428,98.42857142857143
57,2018-01-01,Hunters Hill,,208.58823529411765,2.0588235294117645,22.5,1.4232352941176472,13.029411764705882,104.20588235294117
58,2015-01-01,Hurstville,,71.0,1.0,2.0,0.05,1.0,0.0
59,2016-01-01,Hurstville,,66.0,2.3333333333333335,11.333333333333334,0.26,1.0,234.0
60,2017-01-01,Hurstville,,72.4375,1.9375,14.25,0.46499999999999997,2.25,107.5
61,2018-01-01,Hurstville,,113.17391304347827,1.9673913043478262,13.75,1.368586956521739,2.75,150.57608695652175
62,2015-01-01,Ku-Ring-Gai,,326.42857142857144,4.571428571428571,1.4285714285714286,0.027142857142857142,1.4285714285714286,95.14285714285714
63,2016-01-01,Ku-Ring-Gai,,188.5,4.678571428571429,3.8214285714285716,0.09607142857142857,1.6071428571428572,107.17857142857143
64,2017-01-01,Ku-Ring-Gai,,139.74193548387098,3.7419354838709675,7.096774193548387,0.2106451612903226,1.967741935483871,91.64516129032258
65,2018-01-01,Ku-Ring-Gai,,142.16666666666666,3.005952380952381,17.458333333333332,1.2167261904761904,2.636904761904762,135.42857142857142
66,2014-01-01,Lane Cove,,130.0,7.0,2.0,0.03,1.0,220.0
